variable,public_or_secret,build_or_runtime,in_env_example,in_wrangler_jsonc,in_cf_types,in_ci_workflow,consumer_count,consumers,notes
"ADMIN_API_ENABLED","secret","runtime","yes","no","no","no","1","app/api/admin/update-building-positions/route.ts",""
"ADMIN_SECRET_TOKEN","secret","runtime","yes","no","no","no","1","app/api/admin/update-building-positions/route.ts",""
"ALLOW_MEMORY_RATE_LIMIT","secret","runtime","yes","no","no","no","1","lib/services/rateLimitService.ts",""
"ANALYZE","secret","runtime","no","no","no","no","1","config/next/next.config.ts",""
"CI","secret","runtime","no","no","yes","yes","1","config/next/next.config.ts",""
"CORS_ALLOWED_ORIGINS","secret","runtime","yes","no","no","no","1","app/api/_lib/middleware.ts",""
"CRON_SECRET","secret","runtime","yes","yes","no","no","4","app/api/auth/email/cleanup/route.ts app/api/auth/password/cleanup/route.ts app/api/cron/push-reminders/route.ts app/api/security/rate-limit/cleanup/route.ts",""
"CSP_REPORT_TO","secret","runtime","yes","no","no","no","2","lib/security/csp-enhanced.ts lib/security/csp.ts",""
"CSP_REPORT_URI","secret","runtime","yes","no","no","no","2","lib/security/csp-enhanced.ts lib/security/csp.ts",""
"CSP_REPORT_WEBHOOK","secret","runtime","yes","no","no","no","1","app/api/csp-report/route.ts",""
"CSRF_VALIDATION_ENABLED","secret","runtime","yes","no","no","no","1","lib/security/csrf.ts",""
"DEV_BYPASS_EMAILS","secret","runtime","yes","no","no","no","2","app/api/auth/signin/route.ts app/api/auth/signup/route.ts",""
"GEOFENCE_BUFFER_KM","secret","runtime","yes","no","no","no","1","app/api/navigate/route.ts",""
"GOOGLE_ROUTES_API_KEY","secret","runtime","yes","no","no","no","3","app/api/maps/place-details/route.ts app/api/maps/place-search/route.ts app/api/maps/routes/route.ts",""
"GOOGLE_WEATHER_API_KEY","secret","runtime","yes","no","no","no","1","app/api/weather/route.ts",""
"KEEP_VERCEL_TMP","secret","runtime","no","no","no","no","1","tools/vercel/deploy.mjs",""
"KV_REST_API_TOKEN","secret","runtime","yes","no","no","no","1","lib/services/rateLimitService.ts",""
"KV_REST_API_URL","secret","runtime","yes","no","no","no","1","lib/services/rateLimitService.ts",""
"NEXT_PUBLIC_APP_URL","public (inlined at build)","build-time","yes","yes","no","yes","4","app/api/auth/email/send-verification/route.ts app/api/auth/password/request-reset/route.ts lib/config.ts lib/services/emailService.ts",""
"NEXT_PUBLIC_DEPLOYMENT_ENV","public (inlined at build)","build-time","no","no","no","no","1","config/sentry/sentry.client.config.ts",""
"NEXT_PUBLIC_GOOGLE_MAPS_API_KEY","public (inlined at build)","build-time","yes","no","no","no","1","lib/maps/google/loader.ts",""
"NEXT_PUBLIC_GOOGLE_MAP_ID","public (inlined at build)","build-time","yes","no","no","no","1","features/map/components/GoogleMapCanvas.tsx",""
"NEXT_PUBLIC_SENTRY_DSN","public (inlined at build)","build-time","yes","no","no","no","4","config/next/next.config.ts config/sentry/sentry.client.config.ts config/sentry/sentry.edge.config.ts config/sentry/sentry.server.config.ts",""
"NEXT_PUBLIC_SENTRY_ENABLED","public (inlined at build)","build-time","yes","no","no","no","2","config/sentry/sentry.client.config.ts lib/utils/errorHandling.ts",""
"NEXT_PUBLIC_SITE_URL","public (inlined at build)","build-time","yes","no","no","yes","1","lib/services/emailService.ts",""
"NEXT_PUBLIC_SUPABASE_ANON_KEY","public (inlined at build)","build-time","yes","no","no","yes","4","lib/middleware.ts lib/supabase/client.ts lib/supabase/middleware.ts lib/supabase/server.ts",""
"NEXT_PUBLIC_SUPABASE_PROJECT_REF","public (inlined at build)","build-time","yes","no","no","no","1","lib/security/csrf.ts",""
"NEXT_PUBLIC_SUPABASE_URL","public (inlined at build)","build-time","yes","no","no","yes","6","lib/middleware.ts lib/security/csrf.ts lib/supabase/admin.ts lib/supabase/client.ts lib/supabase/middleware.ts lib/supabase/server.ts",""
"NEXT_PUBLIC_VAPID_PUBLIC_KEY","public (inlined at build)","build-time","yes","no","no","yes","2","lib/server/push.ts lib/services/notificationService.ts",""
"NEXT_PUBLIC_VERCEL_ENV","public (inlined at build)","build-time","no","no","no","no","1","config/sentry/sentry.client.config.ts",""
"NEXT_PUBLIC_X","public (inlined at build)","build-time","no","no","no","no","1","tools/cloudflare/check-public-env.mjs",""
"NODE_ENV","secret","runtime","yes","no","no","no","31","app/api/admin/update-building-positions/route.ts app/api/auth/passkey/_lib.ts app/api/auth/signin/route.ts app/api/auth/signup/route.ts app/api/events/route.ts app/api/health/route.ts",""
"ORS_API_KEY","secret","runtime","yes","no","no","no","1","app/api/navigate/route.ts",""
"ORS_BASE_URL","secret","runtime","yes","no","no","no","1","app/api/navigate/route.ts",""
"PUSH_REMINDER_LOOKAHEAD_MINUTES","secret","runtime","yes","no","no","no","1","app/api/cron/push-reminders/route.ts",""
"PUSH_REMINDER_MAX_USERS_PER_RUN","secret","runtime","no","no","no","no","1","app/api/cron/push-reminders/route.ts",""
"RESEND_API_KEY","secret","runtime","yes","no","no","no","1","lib/services/emailService.ts",""
"SENTRY_AUTH_TOKEN","secret","runtime","yes","no","no","no","1","config/next/next.config.ts",""
"SENTRY_ENABLED","secret","runtime","yes","no","no","no","2","config/sentry/sentry.edge.config.ts config/sentry/sentry.server.config.ts",""
"SENTRY_ORG","secret","runtime","yes","no","no","no","1","config/next/next.config.ts",""
"SENTRY_PROJECT","secret","runtime","yes","no","no","no","1","config/next/next.config.ts",""
"SUPABASE_SERVICE_ROLE_KEY","secret","runtime","yes","no","no","no","1","lib/supabase/admin.ts",""
"UPSTASH_REDIS_REST_TOKEN","secret","runtime","yes","no","no","no","1","lib/services/rateLimitService.ts",""
"UPSTASH_REDIS_REST_URL","secret","runtime","yes","no","no","no","1","lib/services/rateLimitService.ts",""
"VAPID_PRIVATE_KEY","secret","runtime","yes","no","no","no","1","lib/server/push.ts",""
"VAPID_SUBJECT","secret","runtime","yes","no","no","no","1","lib/server/push.ts",""
"VERCEL_BRANCH_URL","secret","runtime","no","no","no","no","1","lib/services/emailService.ts",""
"VERCEL_ENVIRONMENT","secret","runtime","no","no","no","no","1","tools/vercel/check-required-env.mjs",""
"VERCEL_ORG_ID","secret","runtime","no","no","no","no","1","tools/vercel/check-required-env.mjs",""
"VERCEL_PROJECT_PRODUCTION_URL","secret","runtime","no","no","no","no","1","lib/services/emailService.ts",""
"VERCEL_TOKEN","secret","runtime","no","no","no","no","1","tools/vercel/check-required-env.mjs",""
"VERCEL_URL","secret","runtime","no","no","no","no","1","lib/services/emailService.ts",""
"VERIFICATION_EMAIL_FROM","secret","runtime","yes","no","no","no","1","lib/services/emailService.ts",""
"VERIFICATION_EMAIL_NAME","secret","runtime","yes","no","no","no","1","lib/services/emailService.ts",""
"VITEST","secret","runtime","no","no","no","no","1","lib/security/csrf.ts",""
"WEBAUTHN_ORIGIN","secret","runtime","yes","no","no","no","2","app/api/auth/passkey/_lib.ts lib/security/webauthn.ts",""
"WEBAUTHN_RP_ID","secret","runtime","yes","no","no","no","2","app/api/auth/passkey/_lib.ts lib/security/webauthn.ts",""
