finding_id,title,category,severity,confidence,status,root_cause,entrypoint,control,sink,affected_files,reproduction,regression_test,fix_commit,focused_verification,full_verification,production_impact,deployment_requirement,deferred_reason,owner_decision,review_expiry,notes
RTA-0001,Sharp supply-chain gate blocked every cf:* deploy path,supply-chain,P1,confirmed,fixed_full_verified,"EXPECTED_DEPENDENCY_PATHS/EXPECTED_PROVENANCE pinned Next 16.2.11 + Wrangler 4.113.0 + miniflare 4.20260721.0/sharp 0.34.5; the committed lockfile installs Next 16.2.12 + Wrangler 4.115.0 + miniflare 4.20260722.1/sharp 0.35.2","npm run cf:deploy:production / cf:dry-run / cf:preview / cf:upload",evaluateDeploymentGate delegates to evaluateAuditException,deploy blocked,tools/security/check-sharp-risk.mjs; tools/security/check-sharp-risk.test.mjs,"check-sharp-risk.mjs deployment production AND deployment preview both exit 1 with 5 provenance errors",tests/security/sharp-gate-provenance-matches-lockfile.test.ts,b0b8cd7a,"audit-exception exit 0; deployment gate preview+production exit 0; gate self-tests 27/27","npm run cf:dry-run exit 0 end to end; Worker 6791.21 KiB gzip",Production could not be released at all,None - gate change only,,,2026-08-22,"Root cause of the silent drift: the gate's own suite validates a SYNTHETIC lockfile fixture and nothing in npm run check reads the real package-lock.json"
RTA-0002,A single accepted advisory skips every build and Worker verification job in CI,ci-topology,P1,confirmed,deferred_owner_decision,"Security Checks runs `npm audit --omit=dev --audit-level high` with no exemption for the formally accepted sharp risk (BA-0044); build + cloudflare-build both `needs: [test, security]`",push to main,none,"Production Build, Cloudflare Worker Build and Lighthouse all skipped",.github/workflows/ci-cd.yml,"gh run view 30513673331: Security Checks failure; Production Build skipped; Cloudflare Worker Build skipped; Lighthouse skipped",none added,,"Confirmed against runs 30513673331 (1301734f) and 30512740454 (6d9a3ac9) - both red on npm audit only",,"No build or Worker verification has run in CI since the advisory appeared, so the RTA-0001 deploy breakage was invisible to CI",Owner must decide CI advisory policy,Deciding which advisories CI may tolerate is a security-policy call; changing it unilaterally would read as weakening a gate,"Express the accepted sharp exception in CI (or decouple build jobs from the advisory gate) so new advisories still fail but accepted ones do not blind the pipeline",2026-08-22,"postcss bump in 46c0d4ed removed 2 of the 5 advisories but does NOT turn this green - the sharp set remains"
RTA-0003,push-reminders cron route has no scheduler; deadline reminders cannot fire,reliability,P1,confirmed,deferred_owner_decision,"BA-0016 removed the GitHub Actions schedule trigger (correctly - it was an unreconciled fourth scheduler whose secrets were unset) but the route was never adopted into the Cloudflare triggers, which carry only the three cleanup expressions",Cloudflare Cron Triggers,CRON_SECRET,/api/cron/push-reminders never invoked,wrangler.jsonc; lib/cloudflare/scheduled.ts,"wrangler.jsonc production triggers.crons = 3 cleanup expressions only; CRON_ROUTE_BY_EXPRESSION maps the same 3; gh run list --workflow=push-reminders-cron.yml: 0 successes in last 300 runs, all failures, schedule trigger now removed",tests/cloudflare/cron-ownership-coverage.test.ts,d7036029 (gap pinned as a test invariant; not enabled),4 tests pass,,"Push/deadline reminder notifications do not fire in production. The route's own batch cap documents a 10-minute cadence it no longer has for catch-up after truncation",Owner must enable a trigger,"Wiring a trigger resumes real push delivery to real users; audit brief §2.4 puts scheduled-trigger changes outside a code-only pass",Add '*/10 * * * *' -> /api/cron/push-reminders to CRON_ROUTE_BY_EXPRESSION and wrangler.jsonc production triggers,,"Encoded as an explicit KNOWN_UNSCHEDULED exception carrying its reason, so any NEW cron-authenticated route added without an owner fails the suite"
RTA-0004,Password-reset and email-verify tokens were double-spendable under a race,auth,P2,confirmed,fixed_full_verified,"Consuming UPDATE did not check the affected row count; PostgREST reports a zero-row UPDATE as success (error: null), so the loser of a race proceeded to the privileged write","POST /api/auth/password/reset, POST /api/auth/email/verify",".eq('used', false) on the lookup only",admin.updateUserById (password set / email_confirm),app/api/auth/password/reset/route.ts; app/api/auth/email/verify/route.ts,"Both zero-row cases failed 'expected 200 to be 400' against the old code, i.e. the routes performed the privileged write for the loser",tests/api/auth/token-single-use-rowcount.test.ts,59e1894b,4 new tests pass; tests/api/auth 11 files / 40 tests pass,typecheck exit 0,A single-use recovery token could be spent twice,None,,,,"Carried from 2026-07-22 as BA-0006 status `candidate`; confirmed in both routes and closed. passwordReset.test.ts fixture updated (contract change, assertion unchanged)"
RTA-0005,WebAuthn RP ID and expected origin failed OPEN to client-controlled headers,auth,P2,confirmed,fixed_full_verified,"Both resolvers fell back to the request's own Host/Origin when the env anchor was missing, making the origin check compare an attacker-supplied value against itself","/api/auth/passkey/* and /api/webauthn/*",WEBAUTHN_RP_ID / WEBAUTHN_ORIGIN,verifyAuthenticationResponse expectedOrigin,app/api/auth/passkey/_lib.ts; lib/security/webauthn.ts,"Static: both resolvers returned header-derived values with the env unset. Latency of exploit depends on process.env being empty, which BA-0017 proves is possible on Workers",tests/security/webauthn-anchors-fail-closed.test.ts,999a11c9,9 new tests across both stacks,"146 files / 1285 tests pass; typecheck + typecheck:cloudflare exit 0","Latent, not live - production sets both anchors. Becomes live under a BA-0017-style empty process.env isolate",None,,,,"Carried from 2026-07-22 as BA-0003 status `validated`, never fixed. Whitespace-only now treated as missing"
RTA-0006,HIBP breach lookup was unbounded and could hang signup and password reset,availability,P2,confirmed,fixed_full_verified,"fetch had no timeout and no abort signal, so the documented fail-open covered a dependency that FAILS but not one that HANGS",POST /api/auth/signup; POST /api/auth/password/reset,isPasswordBreachBlocked fail-open,api.pwnedpasswords.com,lib/security/password-breach.ts,"With the signal removed the hang test dies with 'Test timed out in 10000ms', reproducing the stall rather than asserting a shape",tests/security/password-breach-timeout.test.ts,8b8c5f0e,4 new tests pass,,"A hanging third party could stall account creation and password reset until the platform killed the request",None,,,,"Found by inventorying every outbound host and checking each caller for a timeout/abort path - this was the one with neither in front of account creation"
RTA-0007,postcss pinned to a version affected by two high advisories,supply-chain,P2,confirmed,fixed_full_verified,"An overrides.next.postcss entry (17b1fe11) pinned 8.5.10; the advisories (GHSA-6g55-p6wh-862q, GHSA-r28c-9q8g-f849) are fixed in 8.5.18. npm's proposed remedy was a next@14 major DOWNGRADE, so the 2026-07-22 audit filed it as unreachable and moved on",build-time CSS pipeline,none,postcss sourceMappingURL handling,package.json; package-lock.json,npm audit reported 5 high; postcss accounted for 2,none added (advisory count is asserted by no test),46c0d4ed,"postcss resolves 8.5.25; npm audit 5 high -> 4 high; Sharp gate exit 0; gate self-tests 27/27","147 files / 1289 tests pass; npm run build compiled; CSS output verified non-empty (250 KB, MQ tokens, Tailwind utilities, autoprefixer output)","Build-time only; not reachable at runtime",Rebuild,,,,"Remaining 4 advisories are one root cause: sharp/libvips via Next's OPTIONAL image dependency, governed by the reachability gate"
RTA-0008,Password reset does not revoke the user's other sessions,auth,P2,confirmed,deferred_owner_decision,"Password *change* revokes via auth.signOut({scope:'others'}) (BA-0005) but reset runs unauthenticated, and admin.signOut in @supabase/auth-js 2.104.1 requires the user's JWT which that path never has",POST /api/auth/password/reset,none,existing sessions survive the reset,app/api/auth/password/reset/route.ts,"Static: no revocation call in the reset path; confirmed admin API surface offers only signOut(jwt, scope)",none added,,,,"An attacker's session survives the recovery that was meant to evict it - and reset is the mechanism used precisely when compromise is suspected",Needs a DB-level revocation function,Closing it requires a SECURITY DEFINER function over auth.refresh_tokens (a migration) or a GoTrue-level change; out of scope for a code-only pass and migrations must not be applied to production in this audit,"Add a definer function to revoke refresh tokens by user id, or adopt a GoTrue version exposing admin logout by user id",,"BA-0005 was marked fixed_targeted for the change path only; this is the residual and it is the more security-relevant of the two"
RTA-0009,Webmanifest served a doubled Content-Type,configuration,P2,confirmed,fixed_targeted,"public/_headers declared Content-Type for /manifest.webmanifest twice - an exact-path rule and a /*.webmanifest glob - and Cloudflare applies every matching rule and appends",GET /manifest.webmanifest,none,"content-type: application/manifest+json, application/manifest+json",public/_headers,"Verified live: curl -sSI https://www.syllabus-sync.app/manifest.webmanifest returns the comma-joined value",tests/cloudflare/headers-no-duplicate-single-value.test.ts,afe854ee,8 tests pass; reintroducing the rule fails with 'set by 2 rules',,"A comma-joined Content-Type is not a valid media type; a browser may reject it, costing PWA installability",Deploy required - _headers ships with the assets,,,,"Root cause for the 2026-07-29 'doubled Content-Type, root cause unidentified' follow-up. Cannot be confirmed live until deployed"
RTA-0010,Eleven SECURITY DEFINER functions have no pinned search_path,database,P2,plausible,validated,"Their current definitions omit SET search_path, and the migration chain contains no ALTER FUNCTION ... SET search_path anywhere to supply it later",Postgres function invocation,SECURITY DEFINER,definer-privileged execution with a mutable resolution path,"supabase/migrations (add_sample_class_times, handle_new_user_profile, on_deadline_completed, protect_profile_fields, handle_new_user_gamification, soft_delete, purge_deleted_records, refresh_analytics_views, seed_demo_events, audit_trigger, cleanup_expired_webauthn_challenges)","Static over the full ordered chain, keeping only each function's LAST definition; verified no ALTER FUNCTION ... SET search_path exists in any migration",none added,,,,"Defence-in-depth. Exploitation needs CREATE on a schema earlier in the resolution path, which Supabase revokes from PUBLIC by default - so not demonstrated live",Confirm against the live catalogue then pin,"Requires a migration; live catalogue state was not queried in this pass, and several are trigger functions where a bad pin changes behaviour",Pin search_path on each; several are triggers (handle_new_user_profile, audit_trigger, on_deadline_completed, protect_profile_fields) which is the classic hijack shape,,"Violates the repo's own stated rule that SECURITY DEFINER functions must pin search_path"
